"UM" "X_coord" "Y_coord" "Banda1" "Banda2" "Banda3" "Banda4" "Banda5" "Banda7" "EDAD" "TCH"
"13" 20 325240.091911765 7371917.38970588 0.090238507808236 0.0386803034544856 0.0313890492627389 0.13610607521364 0.0888610590947247 0.0239554321965256 "P+S1" 78.9276302452868
"14" 21 321875.567010309 7370101.34020619 0.0879045075038661 0.035954396941598 0.0262548855539691 0.141483789790773 0.0763276710556701 0.0195224105091753 ">=2" 106.774547449259
"15" 22 327566.883802817 7370200.47535211 0.0904503440812857 0.0392281299438207 0.0296985861466196 0.140909757544331 0.0841931297087324 0.0215841016238203 "P+S1" 99.6525096525097
"16" 23 319551.798561151 7371558.74100719 0.0873839857317626 0.0374279417142087 0.0295674878818346 0.133492623382518 0.0824975538057554 0.0233559223877338 ">=2" 58.2756916996047
"17" 24 324273.362068966 7373926.72413793 0.0925453591710345 0.0429964124953449 0.0334691553357759 0.145288107211552 0.0964248307569828 0.02657632994 "P+S1" 75.200493522517
"18" 25 319630 7370656.28205128 0.092416428570983 0.0413946571605129 0.0325123586296582 0.149699644019273 0.0919423497829059 0.0248555139952565 "P+S1" 102.34794275492
"19" 26 318328.805970149 7371586.26865672 0.0852081691696767 0.0355098381445275 0.0262366352923631 0.136119666496095 0.0754819786016171 0.0208736935060448 ">=2" 67.0369828972373
"20" 27 324047.419354839 7368906.90322581 0.0961094670733549 0.044659490833613 0.0405813046286452 0.136324174174 0.0995934818067097 0.0287923719759355 ">=2" 91.0790423089538
"21" 28 325329.642857143 7369330.53571429 0.0890100163253571 0.0371308082603571 0.0284593556703571 0.13958103289625 0.0806375809805357 0.0202364257 "P+S1" 97.8039215686274
"22" 29 327895.090909091 7368523 0.0876026056696364 0.0373108966443637 0.0292048553363637 0.129521874406273 0.0817799560725454 0.0240481953805455 ">=2" 90.3337169159954
"23" 30 322010.64516129 7369143.5483871 0.0949031154649463 0.0425078656151613 0.0341804397694624 0.148986361520753 0.0973113164793549 0.0279911385008602 "P+S1" 87.2727272727273
"24" 31 327422.110199297 7370919.96483001 0.0910277135685231 0.0396790584306334 0.0310293389956391 0.132276445872075 0.0857520016549123 0.0235255536429893 "P+S1" 83.59516328668
"25" 32 325837.73006135 7371224.78527607 0.089839417280184 0.0381280624686503 0.0289081086900614 0.138944018838221 0.0844974969882209 0.0221151333723927 "P+S1" 111.194968553459
"26" 33 327035.304878049 7371366.52439024 0.0911550872111586 0.0394718827494819 0.0301932818906708 0.144810159986555 0.0875368192554879 0.0230333156010976 "P+S1" 118.543407192154
"27" 49 333887.688679245 7365122.0754717 0.0864944785885378 0.0362203617255189 0.025162425764434 0.146681244011368 0.0753378107228773 0.0181919771651887 ">=2" 107.732426303855
"28" 50 334566.603773585 7365440.56603774 0.0869650986940881 0.0365988329163522 0.0257778526104403 0.146901743968302 0.0761046257779246 0.018445388154717 ">=2" 109.048603929679
"29" 51 333833.108108108 7365582.02702703 0.0864411095590541 0.0361357727467568 0.0261227906002703 0.142134788069122 0.0759048496644595 0.0186271965868244 ">=2" 108.519767085504
"30" 52 334952.183544304 7367140.09493671 0.0859985719594303 0.0355718575084811 0.0242717166544304 0.144148591999905 0.0728504006760443 0.0173896270152848 ">=2" 98.2762076568451
"31" 53 331448.777777778 7369316.94444444 0.0853484619120373 0.0349975524817409 0.0250862925299258 0.127392823994092 0.0740185378187965 0.0191945779331111 ">=2" 94.4106765327695
"32" 54 334676.749435666 7368609.86455982 0.094441654519052 0.042860450848623 0.0348045776101581 0.142654043238194 0.0956559419031152 0.0262903949397065 ">=2" 90.5959868224019
"33" 55 332745.303370787 7366953.25842697 0.0948404004583819 0.0435662798735729 0.0336322407217754 0.159684457204225 0.0967077370954381 0.0255279099654156 "P+S1" 99.0117947083201
"34" 60 334920.454545455 7365670.45454545 0.0881005107884091 0.0373426110816666 0.0281297591634849 0.141221088160455 0.0791096556364394 0.0201061726964394 ">=2" 92.938163190633
"35" 61 333811.80156658 7363972.92428198 0.0852044987293995 0.0349480128476503 0.0239523580177023 0.140833112185222 0.0730119995753525 0.0176948908548042 ">=2" 110.01392973224
"36" 63 320795.454545455 7360046.46103896 0.089672607404513 0.0386904469988963 0.0308005119419156 0.123740001303669 0.0844194482308442 0.0241202310012987 ">=2" 69.0804597701149
"37" 64 326051.643564356 7362557.48514851 0.088626551183347 0.0381888355163369 0.0291408005981979 0.132536255177267 0.0802997072583566 0.0207807970499405 "P+S1" 71.3782086592487
"38" 66 321630.087209302 7361212.64534884 0.0912361168186627 0.0406120814668315 0.0298666416552907 0.157734931599418 0.083502568044157 0.0208492338804942 "P+S1" 128.815261044177
"39" 67 325151.165919283 7361942.33183856 0.0885925004950224 0.038432967904843 0.0306049267550225 0.122269972323543 0.0815435102700449 0.0230960140487893 "P+S1" 88.6453657248482
"40" 68 323770.588235294 7360379.89304813 0.0868627419624599 0.0366672938751071 0.0271027920309358 0.132631317757353 0.0751099889689305 0.0190717441138235 "P+S1" 87.5792141951838
"41" 71 314431.666666667 7357460 0.0964148044594444 0.0437382225766667 0.0335052431472222 0.158975515928333 0.100949877667222 0.0302492956544444 ">=2" 74.9766573295985
"42" 72 316477.2 7361152 0.0924472004174667 0.0407892656824 0.0323889189477333 0.149686764678267 0.0878702693181334 0.0232071457445333 ">=2" 88.0616740088106
"43" 73 324035.210526316 7358532.05263158 0.0884658866787106 0.0371241197497107 0.0278207999488947 0.138105626444132 0.081200594728921 0.0214753732969737 "P+S1" 69.415575651235
"44" 75 315591.386138614 7357949.9009901 0.0947235085748515 0.0443645433905941 0.0322203652964357 0.172437962035049 0.0982672882709902 0.0261068272578218 ">=2" 84.6243447874199
"45" 76 319698.913043478 7365146.63043478 0.0943191676693478 0.0420141896706522 0.0335279947316304 0.143507237830217 0.0982551251580435 0.0277491930453261 ">=2" 66.9344608879493
"46" 77 319220.483193277 7361807.37394958 0.0928774305756305 0.0404089880766809 0.0312538324842016 0.145367864942395 0.0911712834940759 0.0245039939895587 "P+S1" 102.317761498739
"47" 78 320926.44295302 7364831.0738255 0.0931096892701344 0.0405946578960181 0.0326483331559731 0.14356907863792 0.0949265282670693 0.0257415405229306 ">=2" 90.03663003663
"48" 80 315825.180722892 7365388.07228916 0.093827139003735 0.041398536996747 0.034589625133253 0.139572927482169 0.0913305396592771 0.0265954614207229 ">=2" 73.4956051386072
"49" 81 315970.746268657 7362808.80597015 0.0944553355686567 0.0415965186340299 0.0324430695337313 0.14212824382 0.0916749374620896 0.0260700192320895 ">=2" 80.0284629981025
"50" 84 324844.103773585 7362794.38679245 0.0875903980888679 0.0375137458625944 0.0282231049797171 0.131634551188868 0.0770261201928301 0.0202653401193397 "P+S1" 96.5822560651673
"51" 85 323631.343283582 7363057.46268657 0.0884571722987065 0.036702181830398 0.027913205996219 0.139764384325771 0.0793766192902487 0.0203634329665175 ">=2" 112.767350501964
"52" 86 320882.990353698 7363750.48231511 0.0905037711564631 0.039030784078489 0.0297026502240515 0.140260548310289 0.0844801963336979 0.0223599413687138 "P+S1" 80.5907906168549
"53" 87 319983.523131673 7361820.71174377 0.0921048530744484 0.039203567306477 0.0308609248498577 0.137050838764128 0.0875164032288969 0.0232929556488257 ">=2" 87.3940447728755
"54" 88 320180.517241379 7361495.94827586 0.0915529363752299 0.0389244731154887 0.0299986849308046 0.13804643001842 0.0839022646988794 0.021325512739023 ">=2" 88.8094823078264
"55" 89 315922.714285714 7359700 0.0940260020761429 0.042146796519 0.0326679999287143 0.159301111528714 0.0976739945164286 0.0262391641225714 ">=2" 93.2333333333333
